logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-3.0 2.0 0.04 8.971 12.359 0.012 0.002 0.226 100.0 12.531 286.325 199.528 0.219 57.978 15.517 9.392 2.568 5.221 16.871 1.381 4.416 33.81
-2.5 2.0 0.04 8.971 14.757 0.182 0.003 0.362 100.0 39.889 286.374 163.632 0.069 79.284 17.13 9.402 1.837 2.366 16.888 0.626 2.001 33.834
-2.0 2.0 0.04 8.971 18.839 1.123 0.004 0.579 100.0 75.047 286.506 113.249 0.025 87.056 19.875 9.436 1.115 1.076 16.958 0.285 0.91 33.98
-1.5 2.0 0.04 8.971 26.647 3.254 0.008 1.237 100.0 132.409 286.761 64.548 0.01 89.78 22.93 9.467 0.671 0.548 17.023 0.145 0.463 34.028
-1.0 2.0 0.04 8.971 42.358 8.846 0.018 2.504 100.0 263.528 286.804 35.896 0.004 98.745 25.987 9.462 0.462 0.328 17.003 0.087 0.277 33.66
-4.0 3.0 0.002 7.67 3.62 0.0 0.557 3.107 100.0 3.422 281.841 9.762 0.757 7.097 39.422 8.65 0.515 0.784 15.427 0.207 0.663 30.269
-3.5 3.0 0.002 7.67 4.658 0.014 0.825 11.103 100.0 31.857 281.035 9.836 0.201 14.383 44.794 8.545 0.454 0.381 15.232 0.101 0.322 29.778
-3.0 3.0 0.002 7.67 5.176 0.293 0.936 26.743 100.0 139.901 279.779 6.241 0.041 22.139 48.53 8.475 0.346 0.161 15.08 0.042 0.136 29.391
-2.5 3.0 0.002 7.67 5.147 1.542 1.019 46.127 100.0 268.473 278.474 2.687 0.007 26.408 50.182 8.429 0.202 0.064 14.966 0.017 0.054 29.101
-2.0 3.0 0.002 7.67 4.914 4.658 1.162 64.856 100.0 359.681 277.395 1.007 0.001 24.742 47.813 8.394 0.09 0.026 14.872 0.007 0.022 28.86
